id_restaurante;nome_restaurante;id;jobId;campaignId;storeId;storeInstanceId;customer_id; phoneNumber ;scheduledAt;sendAt;status;message;response;createdAt;createdBy;updatedAt;updatedBy
1;A Casa da Massa;1;1;1553;HJY9QRBZU0;AXHOTYUA;540;5.521.962.375.590,00;23/01/2025 20:26;23/01/2025 22:23;5;Adipisci placeat libero consectetur temporibus adipisci natus vel esse iste.;Provident quod repellat rerum debitis neque qui nobis suscipit itaque in non fugit impedit excepturi.;23/01/2025 09:33;rsilva;24/01/2025 12:41;mirella55
1;A Casa da Massa;2;2;1890;8NQNTXHLZ7;QG7JQPEB;702;5.551.963.199.134,00;25/04/2025 01:48;25/04/2025 02:52;4;Reiciendis quaerat labore exercitationem expedita commodi laudantium nam neque possimus quisquam vel reprehenderit debitis.;Sit illo ullam fugit quisquam quas delectus id soluta.;25/04/2025 01:04;lopesana-julia;25/04/2025 11:14;zviana
1;A Casa da Massa;3;3;429;LQWCGSH3L1;EKF1PQGA;53;5.584.949.992.702,00;04/11/2024 02:21;04/11/2024 02:21;1;Voluptas praesentium ut consequatur ab eius nulla cupiditate.;;03/11/2024 05:44;ana-livia25;03/11/2024 14:18;oda-cruz
1;A Casa da Massa;4;4;766;HB96ACBBFK;CNBOWCDI;195;5.511.912.463.976,00;03/07/2025 14:30;03/07/2025 15:30;5;Provident quod repellat rerum debitis neque qui nobis suscipit itaque in non fugit impedit excepturi.;Provident quod repellat rerum debitis neque qui nobis suscipit itaque in non fugit impedit excepturi.;03/07/2025 01:11;juan20;04/07/2025 01:00;yasminmelo
1;A Casa da Massa;5;5;1039;FHYDO8QSF3;0HNL2K63;5;5.521.995.967.072,00;29/09/2024 07:36;29/09/2024 07:36;6;In molestiae quod dignissimos iure et necessitatibus iure earum facere esse ipsam dignissimos sapiente possimus.;;29/09/2024 02:15;souzagabriela;29/09/2024 15:21;nascimentomaite
1;A Casa da Massa;6;6;1957;RRIC9PI24K;2ETABSFV;341;5.531.954.021.878,00;06/05/2025 06:54;06/05/2025 08:07;5;Quisquam doloribus vero officia ab consequuntur numquam qui accusamus quia vero quibusdam quia repellendus.;;06/05/2025 05:02;nunesluna;06/05/2025 14:45;da-pazvitor
1;A Casa da Massa;7;7;1292;G1SFMESTHW;91HQ1EOH;715;5.561.956.806.844,00;10/11/2024 11:56;10/11/2024 13:29;2;Exercitationem reprehenderit reprehenderit porro praesentium aliquam laboriosam alias sequi cum.;;09/11/2024 22:48;isaac53;09/11/2024 23:22;rnunes
1;A Casa da Massa;8;8;679;CB6IL0TY92;SNZAYBJV;479;5.541.996.720.807,00;01/10/2024 22:45;02/10/2024 00:45;2;Tenetur nisi officia quasi dolorem error maiores harum assumenda.;Voluptatum explicabo dolorem accusantium voluptate amet error.;01/10/2024 18:22;isadora97;03/10/2024 03:13;maria-ceciliamartins
1;A Casa da Massa;9;9;1598;FNK2Z029SL;8OBT632I;981;5.571.906.186.911,00;31/08/2025 23:57;01/09/2025 01:03;2;Asperiores veniam pariatur voluptates veniam exercitationem molestiae tempora.;Voluptatibus voluptate alias voluptas saepe quam sapiente occaecati non rem.;31/08/2025 00:35;barbararibeiro;31/08/2025 18:26;martinsdanilo
1;A Casa da Massa;10;10;2000;9GN305R0L5;9K5HGHGK;712;5.581.999.553.970,00;08/07/2025 16:33;08/07/2025 17:04;2;Error iste esse ex molestias quis ullam id repudiandae.;Natus sunt a amet vero voluptate quo sit tenetur quaerat.;08/07/2025 15:44;gustavo84;08/07/2025 17:49;sabrinalima
