id_restaurante;nome_restaurante;customer_id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email
1;A Casa da Massa;1;Fernanda Duarte;207.463.819-13;O;05/10/1972;1;;True;04/08/2024 02:29;franciscocarvalho;08/06/2024 02:29;pferreira;04/08/2024 02:29;wazevedo;5,52E+12;luigi67@hotmail.com
1;A Casa da Massa;2;Matheus Jesus;46.792.503/0001-48;M;19/03/1962;2;;False;;;29/12/2023 11:04;livia49;09/03/2024 11:04;ana-beatriz44;5,55E+12;otavio28@bol.com.br
1;A Casa da Massa;3;JoÃ£o da Mota;594.173.682-73;F;20/10/1991;1;UZZPQK51;True;31/10/2023 02:50;calebe40;16/10/2023 02:50;lopesmaria-vitoria;31/10/2023 02:50;luiz-fernandopires;5,56E+12;eduardasantos@yahoo.com.br
1;A Casa da Massa;4;Arthur Silveira;574.908.123-05;F;04/08/1952;1;;True;07/07/2024 18:43;moraesluigi;04/12/2023 18:43;da-conceicaonoah;07/07/2024 18:43;vieiraguilherme;5,58E+12;jcosta@uol.com.br
1;A Casa da Massa;5;Vicente Teixeira;937.825.104-88;;04/02/1973;1;;False;;;26/07/2024 06:52;ferreiramatheus;14/01/2025 06:52;goncalvesluna;5,52E+12;oda-paz@ig.com.br
1;A Casa da Massa;6;HeloÃ­sa Porto;293.487.506-74;M;28/01/1985;2;;True;14/08/2024 04:31;barbosasabrina;20/02/2024 04:31;lribeiro;14/08/2024 04:31;nina58;5,56E+12;pedro-lucas76@yahoo.com.br
1;A Casa da Massa;7;Sr. Vicente da Luz;71.620.459/0001-36;;03/02/1999;1;T3W5UZBI;False;;;29/04/2024 00:36;clara73;01/07/2024 00:36;augustofogaca;5,56E+12;vieiraigor@bol.com.br
1;A Casa da Massa;8;Rodrigo Souza;62.348.057/0001-33;M;11/06/1959;2;KWNNHJ7X;True;04/03/2024 03:53;otaviofogaca;24/01/2024 03:53;pda-mota;04/03/2024 03:53;luiz-henriqueribeiro;5,56E+12;joao-guilhermeda-rosa@yahoo.com.br
1;A Casa da Massa;9;Alana Pinto;429.076.183-69;F;20/09/1991;1;;True;22/08/2024 08:06;mirellamonteiro;27/05/2024 08:06;nunesluana;22/08/2024 08:06;ocardoso;5,54E+12;mendesheitor@uol.com.br
1;A Casa da Massa;10;Vitor Fernandes;815.732.690-77;F;26/01/1973;2;41IBLJH7;True;11/10/2024 07:10;clarice53;31/03/2024 07:10;ramosana-laura;11/10/2024 07:10;rcampos;5,58E+12;augusto00@yahoo.com.br
1;A Casa da Massa;11;Guilherme Sales;507.182.946-02;;19/12/1975;2;5XFF0T0P;False;;;08/07/2024 14:02;qporto;16/12/2024 14:02;claricerezende;5,53E+12;da-costapedro-miguel@uol.com.br
1;A Casa da Massa;12;Sra. Sarah Nunes;197.624.083-22;F;15/07/1949;2;DBDW2PCN;True;07/12/2024 09:31;valentinada-cunha;17/05/2024 09:31;souzalara;07/12/2024 09:31;ldias;5,54E+12;ufreitas@ig.com.br
