"id_restaurante","nome_restaurante","login","senha","role"
"0","","admin","admin123","admin"
"1","A Casa da Massa","acasadamassa","massa123","restaurante"
"2","A Confeitaria","aconfeitaria","doce123","restaurante"
"3","Aroma da Cidade","aromadacidade","aroma123","restaurante"
"4","Bistrô Francês","bistrofrances","bistro123","restaurante"
"5","Cantinho do Sabor","cantinhosabor","sabor123","restaurante"
"6","Churrasco Prime","churrascoprime","carne123","restaurante"
"7","Comida Brasileira","comidabrasileira","brasil123","restaurante"
"8","Doce Encanto","doceencanto","encanto123","restaurante"
"9","Grão Dourado","graodourado","grao123","restaurante"
"10","Hamburgueria do Chef","hamburgueriachef","burger123","restaurante"
"11","Jardim Gourmet","jardimgourmet","gourmet123","restaurante"
"12","Mundo do Café","mundodocafe","cafe123","restaurante"
"13","O Paladar Secreto","paladarsecreto","paladar123","restaurante"
"14","Pizza Fantástica","pizzafantastica","pizza123","restaurante"
"15","Rei do Caldo","reidocaldo","caldo123","restaurante"
"16","Sabor Real","saborreal","real123","restaurante"
"17","Sushi Express","sushiexpress","sushi123","restaurante"
"18","Taverna Medieval","tavernamedieval","taverna123","restaurante"
"19","Tempero Mágico","temperomagico","tempero123","restaurante"
